idref,province,lat,lon,locality,siteref,transect,m2,vert_invert,phylum,taxa,sp,sp_code,length,abundance
29,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Mollusca,Gastropoda,Conus nux,CON_NUX,5,7
30,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Echinodermata,Echinoidea,Diadema mexicanum,DIA_MEX,5,3
31,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,11
32,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A1,100,Invertebrados,Mollusca,Gastropoda,Vasula melones,VAS_MEL,5,6
33,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Balistidae,Sufflamen verres,SUF_VER,25,1
34,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Lutjanidae,Lutjanus guttatus,LUT_GUT,20,2
35,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Engraulidae,Anchoa eigenmannia,ANC_EIG,5,156
36,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Haemulidae,Haemulon maculicauda,HAE_MAC,20,21
37,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Haemulidae,Haemulon flaviguttatum,HAE_FLA,20,5
38,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Haemulidae,Anisotremus taeniatus,ANI_TAE,20,26
39,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Acanthuridae,Prionurus laticlavius,PRI_LAT,25,2
40,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Chaetodontidae,Johnrandallia nigrirostris,JOH_NIG,15,1
41,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Chaetodontidae,Chaetodon humeralis,CHA_HUM,15,2
42,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Pomacanthidae,Holacanthus passer,HOL_PAS,20,7
43,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Pomacentridae,Microspathodon dorsalis,MIC_DOR,25,18
44,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Pomacentridae,Abudefduf troschelii,ABU_TRO,10,15
45,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Pomacentridae,Abudefduf concolor,ABU_CON,20,1
46,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,15,18
47,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,20,15
48,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Pomacentridae,Chromis atrilobata,CHR_ATR,10,107
49,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Cirrhitidae,Cirrhitus rivulatus,CIR_RIV,20,2
50,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Cirrhitidae,Cirrhitus rivulatus,CIR_RIV,25,1
51,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Serranidae,Epinephelus panamensis,EPI_PAN,20,3
52,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Serranidae,Epinephelus labriformis,EPI_LAB,10,2
53,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Serranidae,Epinephelus labriformis,EPI_LAB,15,1
54,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Holocentridae,Sargocentron suborbitalis,SAR_SUB,15,3
55,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,5,32
56,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,10,64
57,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,15,3
58,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Labridae,Bodianus diplotaenia,BOD_DIP,15,3
59,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Labridae,Bodianus diplotaenia,BOD_DIP,20,1
60,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Labridae,Bodianus diplotaenia,BOD_DIP,35,1
61,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Serranidae,Serranus psittacinus,SER_PSI,15,1
62,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Kyphosidae,Kyphosus elegans,KYP_ELE,25,2
63,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Vertebrados,Chordata,Muraenidae,Echidna nebulosa,ECH_NEB,35,1
64,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,5,2
65,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Arthropoda,Cirripedia,Balanus sp,BAL_SP,5,92
66,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Mollusca,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,61
67,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,5,7
68,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Echinodermata,Echinoidea,Diadema mexicanum,DIA_MEX,5,1
69,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Echinodermata,Holothuroidea,Holothuria impatiens,HOL_IMP,5,1
70,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Echinodermata,Dendrochirotida,Dendrochirotida sp,DEN_SP,5,6
71,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Cnidaria,Octocorallia,Leptogorgia alba,LEP_ALB,15,1
72,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Mollusca,Polyplacophora,Chiton sp,CHI_SP,5,1
73,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Mollusca,Gastropoda,Conus nux,CON_NUX,5,3
74,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Echinodermata,Echinoidea,Diadema mexicanum,DIA_MEX,5,6
75,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,44
76,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A2,100,Invertebrados,Mollusca,Gastropoda,Vasula melones,VAS_MEL,5,9
77,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Arthropoda,Cirripedia,Balanus sp,BAL_SP,5,100
78,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Mollusca,Gastropoda,Conus nux,CON_NUX,5,2
79,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Mollusca,Bivalvia,Pinctada mazatlanica,PIN_MAZ,5,7
80,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Mollusca,Bivalvia,Pinna rugosa,PIN_RUG,10,1
81,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Mollusca,Gastropoda,Lobatus galeatus,LOB_GAL,10,4
82,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,1
83,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Mollusca,Bivalvia,Pinna rugosa,PIN_RUG,5,3
84,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Mollusca,Gastropoda,Triplofusus princeps,TRI_PRI,5,2
85,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,10
86,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Balistidae,Balistes polylepis,BAL_POL,25,1
87,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Carangidae,Caranx caballus,CAR_CAB,15,1
88,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Chaetodontidae,Chaetodon humeralis,CHA_HUM,15,2
89,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Haemulidae,Haemulon sexfasciatum,HAE_SEX,15,1
90,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,5,5
91,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,10,13
92,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,15,3
93,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Labridae,Halichoeres dispilus,HAL_DIS,10,2
94,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Tetraodontidae,Canthigaster punctatissima,CAN_PUN,5,3
95,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Chromis atrilobata,CHR_ATR,5,20
96,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Microspathodon dorsalis,MIC_DOR,20,3
97,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Abudefduf troschelii,ABU_TRO,10,8
98,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Stegastes acapulcoensis,STE_ACA,5,4
99,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Stegastes acapulcoensis,STE_ACA,10,12
100,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Stegastes acapulcoensis,STE_ACA,15,14
101,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,10,2
102,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,15,4
103,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Cirrhitidae,Cirrhitus rivulatus,CIR_RIV,25,2
104,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Serranidae,Alphestes immaculatus,ALP_IMM,25,1
105,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Tetraodontidae,Arothron hispidus,ARO_HIS,30,1
106,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A3,100,Vertebrados,Chordata,Engraulidae,Anchoa eigenmannia,ANC_EIG,5,100
107,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,10,5
108,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,5,4
109,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,1
110,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Porifera,Demospongiae,Demospongiae sp,DEM_SP,5,2
111,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Hexaplex princeps,HEX_PRI,15,2
112,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Cnidaria,Octocorallia,Leptogorgia alba,LEP_ALB,10,2
113,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Bivalvia,Mytilidae sp,MYT_SP,5,2
114,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Cnidaria,Octocorallia,Pacifigorgia sp,PAC_SP,10,3
115,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Arthropoda,Paguroidea,Paguroidea sp,PAG_SP,5,3
116,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,51
117,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Arthropoda,Cirripedia,Balanus sp,BAL_SP,5,3
118,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,5,2
119,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,5,2
120,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,10,2
121,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,10,4
122,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,30
123,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Porifera,Demospongiae,Demospongiae sp,DEM_SP,15,3
124,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Porifera,Demospongiae,Demospongiae sp,DEM_SP,20,3
125,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Cnidaria,Octocorallia,Leptogorgia alba,LEP_ALB,10,1
126,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Cnidaria,Octocorallia,Leptogorgia alba,LEP_ALB,15,1
127,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,2
128,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Mollusca,Gastropoda,Opeatostoma pseudodon,OPE_PSE,5,1
129,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Arthropoda,Crustacea,Percnon planissimum,PER_PLA,5,1
130,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Chordata,Tunicata,Rhopalaea birkelandi,RHO_BIR,5,4
131,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Invertebrados,Annelida,Polychaeta,Spirobranchus sp,SPI_SP,5,1
132,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Chaetodontidae,Chaetodon humeralis,CHA_HUM,20,1
133,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Holocentridae,Sargocentron suborbitalis,SAR_SUB,25,3
134,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Holocentridae,Sargocentron suborbitalis,SAR_SUB,25,2
135,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Kyphosidae,Kyphosus elegans,KYP_ELE,35,2
136,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,5,58
137,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,15,38
138,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Labridae,Thalassoma lucasanum,THA_LUC,10,64
139,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Labridae,Bodianus diplotaenia,BOD_DIP,30,5
140,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Labridae,Bodianus diplotaenia,BOD_DIP,35,2
141,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,35,7
142,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,5,2
143,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Stegastes flavilatus,STE_FLA,30,3
144,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Abudefduf concolor,ABU_CON,35,14
145,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Abudefduf concolor,ABU_CON,5,27
146,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Microspathodon dorsalis,MIC_DOR,35,36
147,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Microspathodon dorsalis,MIC_DOR,30,19
148,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Microspathodon dorsalis,MIC_DOR,25,8
149,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Pomacentridae,Abudefduf troschelii,ABU_TRO,20,7
150,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Cirrhitidae,Cirrhitus rivulatus,CIR_RIV,35,1
151,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Serranidae,Epinephelus panamensis,EPI_PAN,20,2
152,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Serranidae,Epinephelus panamensis,EPI_PAN,30,7
153,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Serranidae,Epinephelus panamensis,EPI_PAN,35,3
154,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Serranidae,Epinephelus labriformis,EPI_LAB,15,2
155,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Blenniidae,Ophioblennius steindachneri,OPH_STE,15,2
156,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Blenniidae,Ophioblennius steindachneri,OPH_STE,5,8
157,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Blenniidae,Ophioblennius steindachneri,OPH_STE,10,9
158,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Blenniidae,Ophioblennius steindachneri,OPH_STE,20,1
159,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A4,100,Vertebrados,Chordata,Acanthuridae,Prionurus laticlavius,PRI_LAT,25,1
160,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Mollusca,Gastropoda,Conus purpurascens,CON_PUR,5,5
161,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Mollusca,Gastropoda,Hexaplex princeps,HEX_PRI,5,2
162,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Mollusca,Gastropoda,Hexaplex princeps,HEX_PRI,10,1
163,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Cnidaria,Hydrozoa,Macrorhynchia philippina,MAC_PHI,10,2
164,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Mollusca,Bivalvia,Crassostrea rhizophorae,CRA_RHI,5,1
165,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Porifera,Demospongiae,Demospongiae sp,DEM_SP,5,2
166,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Arthropoda,Decapoda,Enoplometopidae sp,ENO_SP,20,1
167,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Mollusca,Gastropoda,Hexaplex princeps,HEX_PRI,10,2
168,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Invertebrados,Arthropoda,Paguroidea,Paguroidea sp,PAG_SP,5,5
169,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Vertebrados,Chordata,Acanthuridae,Prionurus laticlavius,PRI_LAT,25,2
170,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Vertebrados,Chordata,Acanthuridae,Prionurus laticlavius,PRI_LAT,30,2
171,Puntarenas,9.78203,-84.890757,ISLA_TORTUGA,A,A5,100,Vertebrados,Chordata,Pomacentridae,Chromis atrilobata,CHR_ATR,10,15
