transect,Acanthurus triostegus,Acanthurus xanthopterus,Prionurus laticlavius,Actiniaria sp,Anthopleura sp,Apogon dovii,Nidorellia armata,Pentaceraster cumingi,Pharia pyramidata,Phataria unifascialis,Balistes polylepis,Sufflamen verres,Crassostrea rhizophorae,Crassostrea sp,Mytilidae sp,Pinctada mazatlanica,Pinna rugosa,Ophioblennius steindachneri,Caranx caballus,Gnathanodon speciosus,Periclimenes soror,Euaxoctopus panamensis,Chaetodon humeralis,Johnrandallia nigrirostris,Cirrhitichthys oxycephalus,Cirrhitus rivulatus,Balanus sp,Macrura sp,Percnon planissimum,Trapezia ferruginea,Enoplometopidae sp,Demospongiae cafe,Demospongiae morada,Demospongiae sp,Demospongiae verde,Diodon holocanthus,Diodon hystrix,Diadema mexicanum,Eucidaris thouarsii,Toxopneustes roseus,Tripneustes depressus,Anchoa eigenmannia,Fistularia commersonii,Acanthais brevidentata,Conus nux,Conus purpurascens,Elysia diomedea,Fissurella virescens,Hexaplex princeps,Lobatus galeatus,Nerita funiculata,Nerita scabricosta,Opeatostoma pseudodon,Siphonaria gigas,Triplofusus princeps,Turridae sp,Vasula melones,Anisotremus taeniatus,Haemulon flaviguttatum,Haemulon maculicauda,Haemulon sexfasciatum,Haemulon steindachneri,Pocillopora sp,Porites lobata,Porites sp,Sargocentron suborbitalis,Euapta godeffroyi,Holothuria impatiens,Macrorhynchia philippina,Plumularia sp,Stenorhynchus debilis,Kyphosus elegans,Bodianus diplotaenia,Halichoeres chierchiae,Halichoeres dispilus,Thalassoma lucasanum,Lutjanus argentiventris,Lutjanus guttatus,Mulloidichthys dentatus,Echidna nebulosa,Gymnothorax dovii,Gymnothorax panamensis,Muraena clepsydra,Leptogorgia alba,Muricea fruticosa,Pacifigorgia sp,Myrichthys tigrinus,Ophiocoma aethiops,Ophiolepis variegata,Paguroidea sp,Sabellidae sp,Spirobranchus sp,Chiton sp,Holacanthus passer,Pomacanthus zonipectus,Abudefduf concolor,Abudefduf troschelii,Chromis atrilobata,Microspathodon bairdii,Microspathodon dorsalis,Stegastes acapulcoensis,Stegastes flavilatus,Scarus ghobban,Scarus perrico,Scorpaena mystes,Alphestes immaculatus,Epinephelus labriformis,Epinephelus panamensis,Paranthias colonus,Rypticus bicolor,Serranus psittacinus,Arothron hispidus,Arothron meleagris,Canthigaster punctatissima,Rhopalaea birkelandi,Zanclus cornutus,Dendrochirotida sp
C11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,1,1,2,0,7,0,0,0,2,3,0,0,4,115,0,0,5,0,36,0,0,0,0,0,0,0,0,34,0,0,0,4,0,27
C12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,8,0,0,20,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,7,0,0,6,44,34,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0
C13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,10,0,0,10,0,13,0,0,0,0,9,0,0,0,0,0,0,0,46,0,0
C14,0,0,0,0,0,0,0,0,0,0,0,0,78,0,2,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,0,0,0,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D15,0,0,0,0,508,0,0,0,0,9,1,0,0,0,0,0,0,11,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,7,0,208,13,0,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,1,0,0,0,0,139,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,140,0,0,0,0,99,0,0,0,8,0,0,1,0,2,0,4,1,0,5
D16,0,0,0,0,527,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,2,0,30,7,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,5,165,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,0,68,0,0,0,2,0,0,0,6,5,0,0,0,0,2
D17,0,0,0,0,100,0,0,0,0,1,0,6,0,0,0,0,0,5,0,0,0,2,0,1,0,3,0,0,0,10,0,0,28,0,0,9,0,850,0,8,4,0,1,0,0,4,0,0,0,2,0,0,24,0,0,4,14,0,0,0,0,0,108,0,0,0,0,0,0,13,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,15,0,0,34,0,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,10,50,0,0
D18,0,0,0,0,140,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,5,0,1,1,0,0,0,0,0,12,20,0,0,12,0,1100,0,9,19,0,1,0,0,4,5,0,0,0,0,0,19,0,0,5,34,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,77,0,0,0,0,2,0,0,0,0,0,1,22,0,0,3,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
D19,0,0,0,0,124,0,0,0,0,3,3,0,0,0,0,8,0,19,0,0,0,1,8,0,0,0,0,1,0,0,0,0,18,0,0,7,0,306,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,13,12,0,0,0,0,0,40,0,0,0,10,0,0,0,24,0,0,11,0,0,0
D20,0,0,0,0,26,0,0,0,0,1,6,0,0,0,0,0,3,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,4,0,330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,40,0,0,0,0,0,25,0,0,0,0,45,0,0,0,8,0,0,0,10,0,0,6,0,0,15
E21,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,0,185,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,4,0,40,3,0,0,0,5,0,0,0,5,0,2,3,25,0,550
E22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,1,6,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18,0,0,0,5,0,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,36,0,0,0,0,0,0,0,0,0,0,1,0,4,0,500
E23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,4,2000,0,0,0,0,0,0,0,0,1,0,450,0,20,22,0,1,0,0,0,0,0,0,0,0,0,35,0,0,3,25,0,0,0,0,0,24,0,0,0,0,0,0,45,0,0,1,1,0,30,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,5,5,1,0,16,25,2,0,0,0,0,0,0,0,0,2,0,0,0,73,0,800
E24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,5,0,1,1500,0,0,0,0,0,0,0,0,0,0,500,0,5,5,0,0,0,0,3,0,0,0,0,0,0,12,0,0,3,5,0,0,0,0,0,17,0,0,0,0,0,0,32,0,0,0,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
E25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,65,0,0,0,0,8,0,0,234,0,0,0,0,3,0,0,0,1,0,245,0,0,2,0,3,0,0,0,0,300,0,0,0,0,6,0,0,5,15,0,0,0,0,0,2,0,0,0,0,0,0,37,0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,21,8,0,0,16,0,14,0,0,0,0,6,0,0,0,0,0,0,15,30,0,250
E26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,3,0,0,484,0,0,0,0,1,1,0,0,5,0,217,0,0,0,0,2,0,0,0,0,380,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,17,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,60,0,12,0,9,0,0,1,0,2,0,0,0,0,0,0,0,19,0,300
F27,0,0,0,8,0,0,0,0,1,4,15,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,418,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,38,0,0,15,0,2,0,1,0,0,0,0,0,0,37,11,0,0,0,5,0,0,0,14,0,0,11,1,0,15
F28,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,6,0,0,7,0,0,1,0,0,45,11,0,0,0,0,0,0,0,0,0,2,0,0,0,3
F29,8,0,14,0,0,0,0,0,0,0,0,2,0,6,0,0,0,16,0,0,0,0,0,0,0,3,500,7,0,0,0,0,0,0,0,1,0,99,1,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0,0,0,5,0,0,0,0,3,0,56,0,0,0,0,0,0,0,7,0,1,8,50,0,200
F30,0,0,0,0,50,0,0,0,0,0,0,2,0,6,0,0,0,14,0,0,0,0,0,17,0,5,500,0,0,0,0,0,0,0,0,1,0,158,1,22,0,0,5,0,14,4,0,0,0,0,0,0,39,0,0,6,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,52,20,0,1,94,0,3,0,0,0,0,0,0,0,6,0,0,4,44,0,24
F31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,55,0,0,256,0,0,0,0,2,0,0,2,0,0,187,17,2,2,0,2,0,0,0,0,0,5,0,0,0,10,0,0,0,21,0,0,0,0,15,4,0,0,0,0,0,0,11,0,0,0,0,0,38,6,0,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,41,35,35,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,16,53,0,57
F32,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,16,15,0,0,0,0,0,0,0,270,0,0,0,0,4,0,0,0,0,0,301,0,7,1,0,6,0,0,0,0,245,6,0,0,0,15,0,0,23,9,0,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,2,0,0,0,0,0,25,0,0,0,0,1,0,14,0,0,0,8,0,0,0,47,0,234
G33,0,1,0,0,170,0,0,0,0,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,292,12,2,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,1,0,0,0,0,3,148,0,0,0,0,0,0,0,0,0,0,0,57,4,0,3,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,3,0,0,0,6,1,0,3,0,0,0
G34,0,0,0,0,0,0,1,0,2,4,0,3,0,0,0,0,0,13,0,0,1,0,2,1,4,4,200,0,0,0,0,0,0,0,3,11,0,428,0,36,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,84,0,0,0,0,0,0,17,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,2,0,0,0,0,0,0,10,0,59,0,0,0,0,0,0,0,16,1,0,22,36,0,0
G35,0,0,0,0,67,6,2,1,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,6,14,0,234,0,0,0,0,2,0,0,0,4,0,40,2,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,157,0,0,0,0,0,0,0,2,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,1,1,14,0,0,0,0,0,0,15,0,0,0,20,0,0,0,14,0,0,0,10,0,0
